1995-06-25;1995-07-02;316
1995-06-26;1995-07-03;612
1995-06-27;1995-07-04;1141
1995-06-28;1995-07-05;1504
1995-06-29;1995-07-06;2004
1995-06-30;1995-07-07;2649
1995-07-01;1995-07-08;3221
1995-07-02;1995-07-09;3207
1995-07-03;1995-07-10;3259
1995-07-04;1995-07-11;3129
1995-07-05;1995-07-12;3237
1995-07-06;1995-07-13;3211
1995-07-07;1995-07-14;3100
1995-07-08;1995-07-15;2944
1995-07-09;1995-07-16;2896
1995-07-10;1995-07-17;2805
1995-07-11;1995-07-18;2814
1995-07-12;1995-07-19;2827
1995-07-13;1995-07-20;2994
1995-07-14;1995-07-21;2888
1995-07-15;1995-07-22;2806
1995-07-16;1995-07-23;2746
1995-07-17;1995-07-24;2722
1995-07-18;1995-07-25;2648
1995-07-19;1995-07-26;2632
1995-07-20;1995-07-27;2331
1995-07-21;1995-07-28;2244
1995-07-22;1995-07-29;2004
1995-07-23;1995-07-30;1810
1995-07-24;1995-07-31;1577
1995-07-25;1995-08-01;1243
1995-07-26;1995-08-02;775
1995-07-27;1995-08-03;435
1995-07-28;1995-08-04;94
